   sensitivity of the launch-time rule (creator's first launch today, ETH-quoted, $300 cap, 3% supply)
  baseline: first-in-line, hold 7 s                fit      n= 820 net $      485 on $  120,723 ( +0.4%) | per-launch mean   +0.4% CI[-5,+5] median -3% win 36% | top-5% launches = $14,677 of profit | worst $-300
  baseline: first-in-line, hold 7 s                holdout  n= 812 net $   18,077 on $  118,240 (+15.3%) | per-launch mean  +14.1% CI[+8,+21] median -2% win 42% | top-5% launches = $20,420 of profit | worst $-300
  pay 10% more than first-in-line price            fit      n= 820 net $   -8,783 on $  132,220 ( -6.6%) | per-launch mean   -6.7% CI[-11,-2] median -6% win 26% | top-5% launches = $14,082 of profit | worst $-300
  pay 10% more than first-in-line price            holdout  n= 812 net $    8,913 on $  129,648 ( +6.9%) | per-launch mean   +5.9% CI[+0,+12] median -5% win 28% | top-5% launches = $19,750 of profit | worst $-300
  pay 25% more than first-in-line price            fit      n= 820 net $  -22,607 on $  149,374 (-15.1%) | per-launch mean  -15.2% CI[-19,-11] median -15% win 18% | top-5% launches = $13,195 of profit | worst $-301
  pay 25% more than first-in-line price            holdout  n= 812 net $   -4,733 on $  146,668 ( -3.2%) | per-launch mean   -4.1% CI[-9,+2] median -13% win 21% | top-5% launches = $18,774 of profit | worst $-301
  pay 50% more (third in line)                     fit      n= 820 net $  -45,460 on $  177,768 (-25.6%) | per-launch mean  -25.6% CI[-29,-22] median -26% win 13% | top-5% launches = $11,720 of profit | worst $-301
  pay 50% more (third in line)                     holdout  n= 812 net $  -27,294 on $  174,899 (-15.6%) | per-launch mean  -16.2% CI[-21,-11] median -24% win 15% | top-5% launches = $17,187 of profit | worst $-301
  land 0.5 s late (enter at first trade >=0.5 s after) fit      n= 369 net $   -8,025 on $   68,177 (-11.8%) | per-launch mean  -13.5% CI[-20,-6] median -2% win 42% | top-5% launches = $5,473 of profit | worst $-303
  land 0.5 s late (enter at first trade >=0.5 s after) holdout  n= 415 net $   -7,568 on $   79,553 ( -9.5%) | per-launch mean  -13.9% CI[-19,-8] median -3% win 39% | top-5% launches = $6,528 of profit | worst $-303
  land 1 s late                                    fit      n= 227 net $   -4,365 on $   48,076 ( -9.1%) | per-launch mean   -9.0% CI[-17,+1] median -1% win 49% | top-5% launches = $3,581 of profit | worst $-303
  land 1 s late                                    holdout  n= 242 net $   -3,367 on $   53,425 ( -6.3%) | per-launch mean  -11.4% CI[-19,-3] median -2% win 45% | top-5% launches = $4,518 of profit | worst $-303
  land 2 s late                                    fit      n= 109 net $   -2,658 on $   27,388 ( -9.7%) | per-launch mean   -8.5% CI[-18,+3] median +8% win 59% | top-5% launches = $1,695 of profit | worst $-303
  land 2 s late                                    holdout  n= 116 net $      333 on $   31,152 ( +1.1%) | per-launch mean   -0.1% CI[-12,+13] median +8% win 58% | top-5% launches = $2,381 of profit | worst $-303
  land 1 s late, hold 3 s                          fit      n= 227 net $     -273 on $   48,076 ( -0.6%) | per-launch mean   -3.0% CI[-9,+2] median +3% win 56% | top-5% launches = $1,916 of profit | worst $-303
  land 1 s late, hold 3 s                          holdout  n= 242 net $      114 on $   53,425 ( +0.2%) | per-launch mean   -3.2% CI[-8,+2] median +0% win 50% | top-5% launches = $2,457 of profit | worst $-303
  pay 25% more AND land 1 s late                   fit      n= 227 net $  -13,357 on $   55,428 (-24.1%) | per-launch mean  -24.4% CI[-31,-17] median -12% win 22% | top-5% launches = $2,799 of profit | worst $-303
  pay 25% more AND land 1 s late                   holdout  n= 242 net $  -14,040 on $   60,141 (-23.3%) | per-launch mean  -26.2% CI[-32,-19] median -14% win 26% | top-5% launches = $3,335 of profit | worst $-303
  6% of supply (two equal snipers share the exit)  fit      n= 820 net $   10,556 on $  241,447 ( +4.4%) | per-launch mean   +4.8% CI[+0,+9] median -2% win 34% | top-5% launches = $26,938 of profit | worst $-600
  6% of supply (two equal snipers share the exit)  holdout  n= 812 net $   39,194 on $  236,480 (+16.6%) | per-launch mean  +15.9% CI[+10,+22] median -2% win 38% | top-5% launches = $37,156 of profit | worst $-600
