launches 6108

## creator seat on the Pons V2 curve (exact curve exits, 1% fee; fees = 0.7% of curve volume; % of the creator's launch-block stake)
all launches                   n= 6108 stake/launch   3.792 | fees   7.8% of stake | trading P&L % of stake: best-time   +54 | TP1.5x   -56 (hit  31%) | ACTUAL (sold when their layer was sold, else marked at end)   +13 | fees+actual   +20 | creators sold within window  92% (median 0 min) | per-launch median (fees+actual)/stake +7%
serial >=10/day                n= 3074 stake/launch   6.781 | fees   5.7% of stake | trading P&L % of stake: best-time   +46 | TP1.5x   -60 (hit  25%) | ACTUAL (sold when their layer was sold, else marked at end)   +12 | fees+actual   +17 | creators sold within window  97% (median 0 min) | per-launch median (fees+actual)/stake +3%
serial >=50/day                n= 1856 stake/launch   8.203 | fees   5.1% of stake | trading P&L % of stake: best-time   +41 | TP1.5x   -60 (hit  25%) | ACTUAL (sold when their layer was sold, else marked at end)   +10 | fees+actual   +15 | creators sold within window  97% (median 0 min) | per-launch median (fees+actual)/stake +2%
2-9/day                        n= 1147 stake/launch   1.468 | fees  17.4% of stake | trading P&L % of stake: best-time  +107 | TP1.5x   -24 (hit  30%) | ACTUAL (sold when their layer was sold, else marked at end)   +11 | fees+actual   +28 | creators sold within window  91% (median 0 min) | per-launch median (fees+actual)/stake +10%
one-off                        n= 1887 stake/launch   0.336 | fees  51.3% of stake | trading P&L % of stake: best-time  +173 | TP1.5x    -5 (hit  41%) | ACTUAL (sold when their layer was sold, else marked at end)   +56 | fees+actual  +107 | creators sold within window  84% (median 1 min) | per-launch median (fees+actual)/stake +16%
stake >=1 quote unit           n= 1978 stake/launch  11.441 | fees   7.4% of stake | trading P&L % of stake: best-time   +53 | TP1.5x   -56 (hit  33%) | ACTUAL (sold when their layer was sold, else marked at end)   +13 | fees+actual   +20 | creators sold within window  96% (median 0 min) | per-launch median (fees+actual)/stake +4%
stake 0.1-1                    n= 1229 stake/launch   0.383 | fees  19.4% of stake | trading P&L % of stake: best-time   +83 | TP1.5x   -43 (hit  37%) | ACTUAL (sold when their layer was sold, else marked at end)   +20 | fees+actual   +39 | creators sold within window  94% (median 0 min) | per-launch median (fees+actual)/stake +8%
stake <0.1                     n= 2901 stake/launch   0.021 | fees  42.6% of stake | trading P&L % of stake: best-time  +113 | TP1.5x   -32 (hit  28%) | ACTUAL (sold when their layer was sold, else marked at end)   +24 | fees+actual   +66 | creators sold within window  89% (median 0 min) | per-launch median (fees+actual)/stake +13%
initial buy >=15% supply       n= 1612 stake/launch   8.599 | fees   4.7% of stake | trading P&L % of stake: best-time   +41 | TP1.5x   -64 (hit  30%) | ACTUAL (sold when their layer was sold, else marked at end)   +11 | fees+actual   +16 | creators sold within window  97% (median 0 min) | per-launch median (fees+actual)/stake +3%
initial buy 5-15%              n= 2223 stake/launch   3.871 | fees   9.2% of stake | trading P&L % of stake: best-time   +68 | TP1.5x   -43 (hit  34%) | ACTUAL (sold when their layer was sold, else marked at end)   +14 | fees+actual   +23 | creators sold within window  97% (median 0 min) | per-launch median (fees+actual)/stake +6%
initial buy <5%                n= 2273 stake/launch   0.306 | fees  52.0% of stake | trading P&L % of stake: best-time  +121 | TP1.5x   -37 (hit  30%) | ACTUAL (sold when their layer was sold, else marked at end)   +22 | fees+actual   +74 | creators sold within window  85% (median 1 min) | per-launch median (fees+actual)/stake +13%

## busiest creators, realistic rule (fees + sell at TP1.5x else hold to end), quote units
  0x7b444d22f0 launches  158 staked   1179.4 fees   93.7 actual trading   +204.9 (sold 92% of launches, median 0 min) best-time  +1286.0 -> fees+actual   +25% of stake
  0x7de5b9c86d launches  158 staked   1358.6 fees   38.3 actual trading     -5.5 (sold 100% of launches, median 0 min) best-time   +146.8 -> fees+actual    +2% of stake
  0xa60e892ab5 launches  116 staked   1872.8 fees  117.1 actual trading   +146.6 (sold 95% of launches, median 0 min) best-time   +819.9 -> fees+actual   +14% of stake
  0xf38ce55fe4 launches  108 staked    793.8 fees   19.3 actual trading    +11.4 (sold 99% of launches, median 0 min) best-time    +62.0 -> fees+actual    +4% of stake
  0x51e005b49b launches   95 staked    464.4 fees   13.3 actual trading     +2.5 (sold 100% of launches, median 0 min) best-time    +57.2 -> fees+actual    +3% of stake
  0xa0a565d959 launches   94 staked    242.2 fees   10.2 actual trading     +1.8 (sold 100% of launches, median 1 min) best-time    +38.2 -> fees+actual    +5% of stake
  0x1d0e439a1f launches   71 staked    366.3 fees   22.1 actual trading    +26.1 (sold 96% of launches, median 0 min) best-time   +145.4 -> fees+actual   +13% of stake
  0x4c27c9f671 launches   64 staked    603.9 fees   16.6 actual trading    +25.0 (sold 98% of launches, median 0 min) best-time   +155.8 -> fees+actual    +7% of stake
