   sensitivity of the launch-time rule (creator's first launch today, ETH-quoted, $300 cap, 3% supply)
  baseline: first-in-line, hold 7 s                fit      n= 664 net $   26,452 on $   96,950 (+27.3%) | per-launch mean  +26.7% CI[+20,+34] median -2% win 46% | top-5% launches = $17,060 of profit | worst $-303
  baseline: first-in-line, hold 7 s                holdout  n= 647 net $   31,168 on $   98,205 (+31.7%) | per-launch mean  +32.8% CI[+24,+41] median -1% win 48% | top-5% launches = $17,124 of profit | worst $-301
  pay 10% more than first-in-line price            fit      n= 664 net $   18,870 on $  106,281 (+17.8%) | per-launch mean  +17.2% CI[+11,+24] median -4% win 35% | top-5% launches = $16,554 of profit | worst $-303
  pay 10% more than first-in-line price            holdout  n= 647 net $   23,570 on $  107,297 (+22.0%) | per-launch mean  +22.6% CI[+15,+31] median -3% win 38% | top-5% launches = $16,532 of profit | worst $-301
  pay 25% more than first-in-line price            fit      n= 664 net $    7,571 on $  120,278 ( +6.3%) | per-launch mean   +5.7% CI[+0,+12] median -10% win 29% | top-5% launches = $15,796 of profit | worst $-303
  pay 25% more than first-in-line price            holdout  n= 647 net $   12,245 on $  120,854 (+10.1%) | per-launch mean  +10.4% CI[+3,+17] median -9% win 31% | top-5% launches = $15,691 of profit | worst $-302
  pay 50% more (third in line)                     fit      n= 664 net $  -11,095 on $  143,492 ( -7.7%) | per-launch mean   -8.2% CI[-13,-3] median -18% win 23% | top-5% launches = $14,532 of profit | worst $-303
  pay 50% more (third in line)                     holdout  n= 647 net $   -6,445 on $  143,207 ( -4.5%) | per-launch mean   -4.6% CI[-10,+1] median -18% win 26% | top-5% launches = $14,365 of profit | worst $-302
  land 0.5 s late (enter at first trade >=0.5 s after) fit      n= 356 net $   -3,755 on $   75,502 ( -5.0%) | per-launch mean   -7.5% CI[-14,-1] median -2% win 45% | top-5% launches = $5,484 of profit | worst $-303
  land 0.5 s late (enter at first trade >=0.5 s after) holdout  n= 379 net $   -3,411 on $   80,273 ( -4.2%) | per-launch mean   -7.9% CI[-14,-2] median -2% win 44% | top-5% launches = $5,683 of profit | worst $-303
  land 1 s late                                    fit      n= 260 net $   -2,883 on $   61,082 ( -4.7%) | per-launch mean   -4.6% CI[-13,+3] median -1% win 50% | top-5% launches = $4,205 of profit | worst $-303
  land 1 s late                                    holdout  n= 282 net $   -2,026 on $   65,876 ( -3.1%) | per-launch mean   -6.1% CI[-13,+2] median -1% win 48% | top-5% launches = $4,655 of profit | worst $-303
  land 2 s late                                    fit      n= 139 net $   -3,249 on $   37,548 ( -8.7%) | per-launch mean   -8.1% CI[-19,+3] median +4% win 52% | top-5% launches = $1,786 of profit | worst $-303
  land 2 s late                                    holdout  n= 138 net $     -953 on $   37,924 ( -2.5%) | per-launch mean   -3.3% CI[-15,+8] median +8% win 59% | top-5% launches = $2,362 of profit | worst $-303
  land 1 s late, hold 3 s                          fit      n= 260 net $    5,158 on $   61,082 ( +8.4%) | per-launch mean   +5.8% CI[-0,+11] median +9% win 63% | top-5% launches = $3,041 of profit | worst $-303
  land 1 s late, hold 3 s                          holdout  n= 282 net $    1,016 on $   65,876 ( +1.5%) | per-launch mean   -1.4% CI[-7,+4] median +3% win 54% | top-5% launches = $3,004 of profit | worst $-303
  pay 25% more AND land 1 s late                   fit      n= 260 net $  -14,457 on $   67,823 (-21.3%) | per-launch mean  -21.0% CI[-27,-15] median -13% win 28% | top-5% launches = $3,213 of profit | worst $-303
  pay 25% more AND land 1 s late                   holdout  n= 282 net $  -15,242 on $   73,062 (-20.9%) | per-launch mean  -22.5% CI[-28,-16] median -13% win 30% | top-5% launches = $3,507 of profit | worst $-303
  6% of supply (two equal snipers share the exit)  fit      n= 664 net $   51,520 on $  193,900 (+26.6%) | per-launch mean  +26.2% CI[+20,+33] median -2% win 43% | top-5% launches = $31,484 of profit | worst $-606
  6% of supply (two equal snipers share the exit)  holdout  n= 647 net $   55,832 on $  196,410 (+28.4%) | per-launch mean  +29.9% CI[+22,+38] median -2% win 45% | top-5% launches = $30,008 of profit | worst $-602
