## (2) generic block-2 sniper on every launch: buy 3% of supply at the first non-creator price, sell 7 s later into whoever bought after (exact curve exits), fees 1%+1%
   (stake = min(3% of supply, $300); exit 7 s after entry unless stated)
  all launches (someone bought within 3 s)         fit      n=1760 net $   28,689 on $  260,818 (+11.0%) | per-launch mean  +10.5% CI[+7,+15] median -2% win 42% | top-5% launches = $42,125 of profit | worst $-303
  all launches (someone bought within 3 s)         holdout  n=1413 net $   29,276 on $  217,454 (+13.5%) | per-launch mean  +15.2% CI[+10,+20] median -2% win 42% | top-5% launches = $36,269 of profit | worst $-301
  creator has NO prior launch today (real-time)    fit      n= 840 net $   24,896 on $  120,038 (+20.7%) | per-launch mean  +19.8% CI[+14,+27] median -2% win 46% | top-5% launches = $20,341 of profit | worst $-303
  creator has NO prior launch today (real-time)    holdout  n= 751 net $   34,002 on $  111,798 (+30.4%) | per-launch mean  +31.1% CI[+24,+40] median -1% win 48% | top-5% launches = $20,066 of profit | worst $-301
  creator has >=1 prior launch today               fit      n= 920 net $    3,793 on $  140,780 ( +2.7%) | per-launch mean   +2.0% CI[-3,+7] median -5% win 39% | top-5% launches = $19,872 of profit | worst $-300
  creator has >=1 prior launch today               holdout  n= 662 net $   -4,726 on $  105,655 ( -4.5%) | per-launch mean   -2.8% CI[-10,+4] median -10% win 36% | top-5% launches = $14,689 of profit | worst $-299
  no prior launch & ETH-quoted                     fit      n= 664 net $   26,452 on $   96,950 (+27.3%) | per-launch mean  +26.7% CI[+20,+34] median -2% win 46% | top-5% launches = $17,060 of profit | worst $-303
  no prior launch & ETH-quoted                     holdout  n= 647 net $   31,168 on $   98,205 (+31.7%) | per-launch mean  +32.8% CI[+24,+41] median -1% win 48% | top-5% launches = $17,124 of profit | worst $-301
  no prior launch & ETH-quoted, hold 3 s           fit      n= 664 net $   26,357 on $   96,950 (+27.2%) | per-launch mean  +27.1% CI[+21,+33] median -1% win 48% | top-5% launches = $11,823 of profit | worst $-300
  no prior launch & ETH-quoted, hold 3 s           holdout  n= 647 net $   28,496 on $   98,205 (+29.0%) | per-launch mean  +30.6% CI[+24,+37] median +1% win 53% | top-5% launches = $12,654 of profit | worst $-302
  no prior launch & ETH-quoted, hold 15 s          fit      n= 664 net $    8,847 on $   96,950 ( +9.1%) | per-launch mean   +8.9% CI[+1,+18] median -3% win 39% | top-5% launches = $15,303 of profit | worst $-300
  no prior launch & ETH-quoted, hold 15 s          holdout  n= 647 net $   19,933 on $   98,205 (+20.3%) | per-launch mean  +21.0% CI[+12,+31] median -2% win 43% | top-5% launches = $18,625 of profit | worst $-301
  no prior launch & ETH-quoted, TP1.3 else 7 s     fit      n= 664 net $   10,199 on $   96,950 (+10.5%) | per-launch mean  +10.0% CI[+6,+14] median +0% win 51% | top-5% launches = $8,836 of profit | worst $-303
  no prior launch & ETH-quoted, TP1.3 else 7 s     holdout  n= 647 net $   12,094 on $   98,205 (+12.3%) | per-launch mean  +13.3% CI[+9,+18] median +2% win 54% | top-5% launches = $8,700 of profit | worst $-301
  no prior launch & ETH, $100 cap                  fit      n= 664 net $   17,659 on $   67,064 (+26.3%) | per-launch mean  +26.3% CI[+19,+34] median -2% win 47% | top-5% launches = $11,742 of profit | worst $-101
  no prior launch & ETH, $100 cap                  holdout  n= 647 net $   22,474 on $   65,347 (+34.4%) | per-launch mean  +34.4% CI[+25,+43] median -1% win 50% | top-5% launches = $11,785 of profit | worst $-101
  no prior launch & ETH, $1000 cap                 fit      n= 664 net $   24,343 on $   99,480 (+24.5%) | per-launch mean  +26.7% CI[+20,+34] median -2% win 46% | top-5% launches = $17,060 of profit | worst $-999
  no prior launch & ETH, $1000 cap                 holdout  n= 647 net $   23,500 on $  108,287 (+21.7%) | per-launch mean  +32.8% CI[+24,+41] median -1% win 48% | top-5% launches = $17,388 of profit | worst $-1,004
  no prior launch & ETH & creator buy <5% supply   fit      n= 540 net $   14,045 on $   75,894 (+18.5%) | per-launch mean  +18.5% CI[+10,+27] median -2% win 44% | top-5% launches = $11,881 of profit | worst $-300
